Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$243,323,230","$77,047,065",31.7%,"$166,276,165",68.3%
4,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$130,560,852","$64,914,050",49.7%,"$65,646,802",50.3%
6,Onward,"$111,245,399","$61,555,145",55.3%,"$49,690,254",44.7%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
9,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
10,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
11,Bloodshot,"$30,851,591","$10,021,787",32.5%,"$20,829,804",67.5%
12,Peninsula,"$30,589,594","$118,647",0.4%,"$30,470,947",99.6%
13,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
14,Emma.,"$25,613,864","$10,055,355",39.3%,"$15,558,509",60.7%
15,Gretel & Hansel,"$21,676,865","$15,347,654",70.8%,"$6,329,211",29.2%
16,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
17,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
18,The Turning,"$18,594,352","$15,472,775",83.2%,"$3,121,577",16.8%
19,Baaghi 3,"$16,722,501","$721,439",4.3%,"$16,001,062",95.7%
20,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
21,Scoob!,"$11,810,654",-,-,"$11,810,654",100%
22,I Still Believe,"$11,680,535","$9,868,521",84.5%,"$1,812,014",15.5%
23,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
24,The Personal History of David Copperfield,"$9,858,620",-,-,"$9,858,620",100%
25,Trolls World Tour,"$9,453,712",-,-,"$9,453,712",100%
26,The Hunt,"$9,424,393","$5,812,500",61.7%,"$3,611,893",38.3%
27,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
28,Malang,"$8,395,229",-,-,"$8,395,229",100%
29,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
30,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
31,My Spy,"$6,084,562",-,-,"$6,084,562",100%
32,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
33,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
34,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
35,Greenland,"$4,550,000",-,-,"$4,550,000",100%
36,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
37,Military Wives,"$3,962,531",-,-,"$3,962,531",100%
38,The Last Full Measure,"$3,364,568","$2,949,212",87.7%,"$415,356",12.3%
39,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
40,Unhinged,"$3,183,336",-,-,"$3,183,336",100%
41,The Lodge,"$3,152,827","$2,138,907",67.8%,"$1,013,920",32.2%
42,The Wretched,"$3,080,596","$1,805,892",58.6%,"$1,274,704",41.4%
43,Samsam,"$2,997,261",-,-,"$2,997,261",100%
44,The King of Staten Island,"$1,744,511",-,-,"$1,744,511",100%
45,The Rental,"$1,657,196","$1,326,641",80.1%,"$330,555",19.9%
46,The High Note,"$1,495,856",-,-,"$1,495,856",100%
47,Greed,"$1,458,826","$355,308",24.4%,"$1,103,518",75.6%
48,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
49,National Theater Live: Cyrano de Bergerac,"$1,365,203","$198,352",14.5%,"$1,166,851",85.5%
50,Jurassic Park 2020 Re-release,"$1,359,933","$1,206,600",88.7%,"$153,333",11.3%
51,The Assistant,"$1,296,090","$1,100,313",84.9%,"$195,777",15.1%
52,Relic,"$1,114,310","$1,033,886",92.8%,"$80,424",7.2%
53,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$1,085,278","$785,000",72.3%,"$300,278",27.7%
54,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
55,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
56,Becky,"$1,020,762","$1,002,852",98.2%,"$17,910",1.8%
57,The Outpost,"$942,113",-,-,"$942,113",100%
58,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
59,The SpongeBob Movie: Sponge On The Run,"$900,000","$900,000",100%,-,-
60,Mafia Inc,"$889,863","$889,863",100%,-,-
61,Misbehaviour,"$788,932",-,-,"$788,932",100%
62,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
63,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
64,The Tax Collector,"$634,145","$634,145",100%,-,-
65,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
66,The Secret: Dare to Dream,"$611,398",-,-,"$611,398",100%
67,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
68,Followed,"$538,179","$538,179",100%,-,-
69,The Big Ugly,"$505,425","$504,133",99.7%,"$1,292",0.3%
70,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
71,Beauty and the Beast 2020 Re-release,"$467,000","$467,000",100%,-,-
72,Inside Out 2020 Re-release,"$460,000","$460,000",100%,-,-
73,Once Were Brothers: Robbie Robertson and the Band,"$454,362","$449,561",98.9%,"$4,801",1.1%
74,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
75,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
76,Infamous,"$429,148","$429,148",100%,-,-
77,The Burnt Orange Heresy,"$378,567","$94,638",25%,"$283,929",75%
78,The Perfect Candidate,"$343,689",-,-,"$343,689",100%
79,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
80,The Climb,"$313,590",-,-,"$313,590",100%
81,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
82,Black Water: Abyss,"$286,354",-,-,"$286,354",100%
83,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
84,Resistance,"$278,578","$7,464",2.7%,"$271,114",97.3%
85,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
86,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
87,Back to the Future 2020 Re-release,"$244,635","$107,000",43.7%,"$137,635",56.3%
88,Made in Italy,"$240,885","$73,332",30.4%,"$167,553",69.6%
89,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
90,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
91,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
92,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
93,Babyteeth,"$198,246","$4,507",2.3%,"$193,739",97.7%
94,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
95,Palm Springs,"$164,000","$164,000",100%,-,-
96,Cruel Peter,"$163,925",-,-,"$163,925",100%
97,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
98,The Booksellers,"$153,460","$25,694",16.7%,"$127,766",83.3%
99,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
100,Incitement,"$140,306","$140,306",100%,-,-
101,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
102,Archive,"$139,593","$139,593",100%,-,-
103,Most Wanted,"$138,000","$138,000",100%,-,-
104,Beneath Us,"$137,260","$137,260",100%,-,-
105,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
106,Only,"$125,603",-,-,"$125,603",100%
107,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
108,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
109,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
110,Summerland,"$110,997","$50,284",45.3%,"$60,713",54.7%
111,Lucky Grandma,"$102,000","$102,000",100%,-,-
112,First Cow,"$101,068","$101,068",100%,-,-
113,First Lady,"$93,298","$93,298",100%,-,-
114,Miss Juneteenth,"$92,349","$92,349",100%,-,-
115,Irresistible,"$90,557",-,-,"$90,557",100%
116,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
117,Young Ahmed Domestic,"$73,925","$21,291",28.8%,"$52,634",71.2%
118,Shirley,"$73,626",-,-,"$73,626",100%
119,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
120,How to Build a Girl,"$70,632","$70,632",100%,-,-
121,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
122,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
123,A Simple Wedding,"$54,415","$54,415",100%,-,-
124,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
125,VHYes,"$47,037","$47,037",100%,-,-
126,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
127,Three Christs,"$36,723","$36,723",100%,-,-
128,Tread,"$36,527","$36,527",100%,-,-
129,Waiting for Anya,"$36,404",-,-,"$36,404",100%
130,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
131,After Parkland,"$30,444","$30,444",100%,-,-
132,Olympic Dreams,"$29,450","$29,450",100%,-,-
133,Buffaloed,"$29,118","$29,118",100%,-,-
134,Abe,"$28,657",-,-,"$28,657",100%
135,Juvenile Delinquents,"$27,535","$22,372",81.2%,"$5,163",18.8%
136,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
137,Inception 10th Anniversary re-release,"$26,813",-,-,"$26,813",100%
138,Jos̩,"$26,563","$26,563",100%,-,-
139,Unsubscribe,"$25,488","$25,488",100%,-,-
140,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
141,Stage Mother,"$24,736",-,-,"$24,736",100%
142,Heart of Africa,"$24,139","$24,139",100%,-,-
143,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
144,Premature,"$23,071","$23,071",100%,-,-
145,L'Innocente,"$22,549","$22,549",100%,-,-
146,Never Too Late,"$21,915",-,-,"$21,915",100%
147,Lore,"$20,006","$20,006",100%,-,-
148,The Shining 40th Anniversary,"$19,024",-,-,"$19,024",100%
149,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
150,Made in Hong Kong,"$17,255","$17,255",100%,-,-
151,Advocate,"$16,942","$16,942",100%,-,-
152,Straight Up,"$16,080","$16,080",100%,-,-
153,"I Was at Home, But...","$14,078","$14,078",100%,-,-
154,Sputnik,"$12,000","$12,000",100%,-,-
155,Powerbomb,"$11,319","$11,319",100%,-,-
156,Lost in America,"$11,301","$11,301",100%,-,-
157,You Go to My Head,"$10,682","$10,682",100%,-,-
158,Foosballers,"$9,966","$9,966",100%,-,-
159,The Grizzlies,"$9,169","$9,169",100%,-,-
160,Just One More Kiss,"$9,130","$9,130",100%,-,-
161,Inside the Rain,"$8,140","$8,140",100%,-,-
162,The Wave,"$8,101","$8,101",100%,-,-
163,I AM PATRICK,"$7,880",-,-,"$7,880",100%
164,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
165,Human Capital,"$6,596","$6,596",100%,-,-
166,Afterward,"$6,477","$6,477",100%,-,-
167,Guest Artist,"$6,301","$6,301",100%,-,-
168,What We Found,"$6,173","$6,173",100%,-,-
169,Killer Raccoons 2: Dark Christmas in the Dark,"$5,712","$5,712",100%,-,-
170,King's Gambit,"$3,816","$3,816",100%,-,-
171,The Roads Not Taken,"$3,518","$3,518",100%,-,-
172,Sex and the Future,"$3,101","$3,101",100%,-,-
173,Valley Girl,"$3,080",-,-,"$3,080",100%
174,Moondance,"$2,371","$2,371",100%,-,-
175,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
176,Goldie,"$2,302","$2,302",100%,-,-
177,Gul Makai,"$2,035",-,-,"$2,035",100%
178,The Fox Hunter,"$1,577","$1,577",100%,-,-
179,Hai Tang Hong,"$1,107","$1,107",100%,-,-
180,The Transcendents,"$1,090","$1,090",100%,-,-
181,Spaceship Earth,$168,-,-,$168,100%
